SKU_ID,Lag_Period,Model,Damped,Train_Months,Test_Months,Train_End,Forecast_Start,Forecast_End,Total_Periods,Zero_Sales_Count,Zero_Sales_%,Mean_Actual,Mean_Forecast,MAE,RMSE,Bias_%,Service_Level_%,SMAPE,Tracking_Signal,ARIMA_Order,Seasonal_Order
1,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,785.16,871.04,85.888,85.888,10.939,100.0,10.372,1.0,,
2,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,817.35,862.37,45.022,45.022,5.508,100.0,5.361,1.0,,
3,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,605.12,667.62,62.501,62.501,10.329,100.0,9.822,1.0,,
4,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,898.77,975.44,76.667,76.667,8.53,100.0,8.181,1.0,,
5,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,789.54,893.68,104.143,104.143,13.19,100.0,12.374,1.0,,
6,1,Holt-Winters,True,64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,,,
7,1,Holt-Winters,True,64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,,,
8,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,772.33,907.1,134.773,134.773,17.45,100.0,16.05,1.0,,
9,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,763.4,875.53,112.127,112.127,14.688,100.0,13.683,1.0,,
10,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,100.47,108.68,8.208,8.208,8.17,100.0,7.849,1.0,,
1,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,891.01,879.19,112.25,123.873,-1.327,66.67,12.348,-0.316,,
2,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,850.93,831.82,85.103,99.182,-2.246,66.67,9.902,-0.674,,
3,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,677.33,682.1,74.729,77.725,0.704,66.67,10.806,0.191,,
4,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,924.1,883.5,107.396,135.255,-4.393,66.67,11.954,-1.134,,
5,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,845.52,853.34,89.893,95.487,0.925,66.67,10.445,0.261,,
6,3,Holt-Winters,True,62,3,2024-03,2024-03,2024-05,3,3,100.0,0.0,0.0,0.0,0.0,,100.0,,,,
7,3,Holt-Winters,True,62,3,2024-03,2024-03,2024-05,3,1,33.33,47.33,55.46,8.138,9.987,17.196,100.0,29.187,3.0,,
8,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,817.93,864.02,121.923,122.275,5.634,66.67,14.518,1.134,,
9,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,935.0,937.63,98.532,106.717,0.282,66.67,10.41,0.08,,
10,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,43.26,35.23,11.114,12.049,-18.55,33.33,130.068,-2.166,,
1,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,842.1,830.35,124.648,152.305,-1.396,50.0,14.445,-0.566,,
2,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,853.51,819.74,114.976,136.428,-3.956,50.0,13.411,-1.762,,
3,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,796.58,796.19,91.015,103.365,-0.049,66.67,10.929,-0.026,,
4,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,869.98,838.89,111.464,135.958,-3.573,66.67,12.744,-1.673,,
5,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,833.06,843.3,92.111,100.5,1.23,66.67,10.841,0.667,,
6,6,Holt-Winters,True,59,6,2023-12,2023-12,2024-05,6,3,50.0,33.28,49.06,25.972,41.781,47.383,83.33,121.596,3.643,,
7,6,Holt-Winters,True,59,6,2023-12,2023-12,2024-05,6,1,16.67,45.56,50.11,11.886,15.405,9.997,66.67,69.435,2.299,,
8,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,827.1,846.93,116.664,123.601,2.398,66.67,13.784,1.02,,
9,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,978.66,962.48,105.82,126.278,-1.653,33.33,10.704,-0.917,,
10,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,55.04,50.42,22.175,29.559,-8.399,33.33,121.068,-1.251,,
1,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,843.77,824.59,90.968,101.213,-2.274,58.33,10.825,-2.531,,
2,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,839.98,804.91,114.621,132.329,-4.175,50.0,13.631,-3.672,,
3,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,842.87,834.62,93.366,100.332,-0.979,58.33,11.071,-1.06,,
4,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,861.15,825.66,96.941,116.712,-4.12,50.0,11.393,-4.392,,
5,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,840.95,821.85,91.349,103.998,-2.272,58.33,10.737,-2.51,,
6,12,Holt-Winters,True,54,12,2023-06,2023-07,2024-06,12,4,33.33,102.97,124.96,37.472,53.944,21.352,75.0,63.701,7.041,,
7,12,Holt-Winters,True,54,12,2023-06,2023-07,2024-06,12,2,16.67,59.27,62.11,10.719,14.338,4.788,58.33,59.774,3.177,,
8,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,835.6,831.74,108.511,116.75,-0.461,58.33,12.835,-0.426,,
9,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,849.24,830.27,91.088,103.723,-2.233,58.33,10.838,-2.499,,
10,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,58.4,41.27,25.294,32.397,-29.326,16.67,98.309,-8.125,,
1,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,0,0.0,785.16,857.02,71.868,71.868,9.153,100.0,8.753,1.0,"(2, 1, 1)","(1, 0, 1, 12)"
2,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,0,0.0,817.35,836.64,19.289,19.289,2.36,100.0,2.332,1.0,"(3, 1, 0)","(0, 0, 1, 12)"
3,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,0,0.0,605.12,652.57,47.453,47.453,7.842,100.0,7.546,1.0,"(2, 1, 1)","(2, 0, 0, 12)"
4,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,0,0.0,898.77,902.35,3.582,3.582,0.399,100.0,0.398,1.0,"(0, 1, 3)","(2, 0, 0, 12)"
5,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,0,0.0,789.54,818.53,28.991,28.991,3.672,100.0,3.606,1.0,"(3, 1, 0)","(0, 0, 1, 12)"
6,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,,"(1, 1, 2)","(1, 0, 0, 12)"
7,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,,"(3, 1, 1)","(1, 0, 1, 12)"
8,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,0,0.0,772.33,824.21,51.881,51.881,6.718,100.0,6.499,1.0,"(3, 1, 0)","(0, 0, 0, 12)"
9,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,0,0.0,763.4,824.14,60.74,60.74,7.956,100.0,7.652,1.0,"(2, 1, 1)","(1, 0, 1, 12)"
10,1,ARIMA,,64,1,2024-05,2024-05,2024-05,1,0,0.0,100.47,89.65,10.817,10.817,-10.767,0.0,11.38,-1.0,"(0, 1, 3)","(1, 0, 0, 12)"
1,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,0,0.0,891.01,872.04,111.861,132.473,-2.129,33.33,12.043,-0.509,"(2, 1, 1)","(1, 0, 0, 12)"
2,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,0,0.0,850.93,841.89,54.821,59.876,-1.062,33.33,6.404,-0.495,"(3, 1, 0)","(0, 0, 1, 12)"
3,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,0,0.0,677.33,659.95,27.241,39.373,-2.567,33.33,3.633,-1.915,"(3, 1, 0)","(2, 1, 0, 12)"
4,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,0,0.0,924.1,881.71,59.852,78.609,-4.586,33.33,6.49,-2.124,"(2, 1, 0)","(2, 0, 1, 12)"
5,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,0,0.0,845.52,840.01,30.033,35.112,-0.651,66.67,3.436,-0.55,"(3, 1, 0)","(0, 0, 1, 12)"
6,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,3,100.0,0.0,7.14,7.136,12.36,,100.0,,3.0,"(3, 1, 2)","(2, 0, 0, 12)"
7,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,1,33.33,47.33,48.31,3.383,4.316,2.085,66.67,12.617,0.875,"(2, 1, 1)","(1, 0, 1, 12)"
8,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,0,0.0,817.93,852.41,45.161,53.645,4.216,66.67,5.607,2.291,"(3, 1, 0)","(0, 0, 0, 12)"
9,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,0,0.0,935.0,929.39,92.488,107.498,-0.6,33.33,9.284,-0.182,"(3, 1, 0)","(0, 1, 0, 12)"
10,3,ARIMA,,62,3,2024-03,2024-03,2024-05,3,0,0.0,43.26,48.18,10.027,10.519,11.377,66.67,38.722,1.472,"(0, 1, 3)","(1, 0, 0, 12)"
1,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,0,0.0,842.1,839.58,111.549,131.407,-0.3,50.0,12.956,-0.136,"(3, 1, 0)","(1, 0, 2, 12)"
2,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,0,0.0,853.51,827.93,129.61,155.182,-2.997,33.33,15.074,-1.184,"(3, 1, 2)","(1, 0, 0, 12)"
3,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,0,0.0,796.58,780.38,125.977,151.662,-2.034,50.0,14.919,-0.772,"(3, 1, 0)","(0, 1, 1, 12)"
4,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,0,0.0,869.98,826.55,138.261,163.023,-4.992,50.0,15.968,-1.885,"(2, 1, 1)","(1, 0, 0, 12)"
5,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,0,0.0,833.06,842.21,111.067,125.11,1.098,66.67,13.04,0.494,"(3, 1, 0)","(0, 0, 1, 12)"
6,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,3,50.0,33.28,63.14,40.056,68.385,85.132,83.33,129.369,4.472,"(2, 1, 1)","(2, 0, 0, 12)"
7,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,1,16.67,45.56,42.9,17.538,22.144,-5.829,50.0,78.67,-0.909,"(2, 1, 1)","(1, 0, 0, 12)"
8,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,0,0.0,827.1,814.23,100.452,116.94,-1.556,66.67,11.96,-0.769,"(3, 1, 0)","(0, 0, 1, 12)"
9,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,0,0.0,978.66,977.63,156.485,176.833,-0.104,50.0,15.361,-0.039,"(3, 1, 0)","(2, 1, 0, 12)"
10,6,ARIMA,,59,6,2023-12,2023-12,2024-05,6,0,0.0,55.04,52.79,31.78,41.442,-4.086,50.0,92.986,-0.425,"(0, 1, 1)","(1, 0, 0, 12)"
1,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,0,0.0,843.77,809.22,86.31,118.236,-4.095,33.33,10.151,-4.804,"(1, 1, 3)","(1, 0, 0, 12)"
2,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,0,0.0,839.98,777.65,104.729,131.971,-7.42,41.67,12.371,-7.142,"(3, 1, 0)","(0, 0, 0, 12)"
3,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,0,0.0,842.87,830.25,79.802,107.534,-1.497,50.0,9.615,-1.897,"(3, 1, 0)","(0, 1, 1, 12)"
4,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,0,0.0,861.15,784.48,116.112,139.729,-8.903,41.67,13.548,-7.924,"(2, 1, 2)","(1, 0, 0, 12)"
5,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,0,0.0,840.95,816.9,72.956,95.766,-2.86,50.0,8.476,-3.957,"(3, 1, 0)","(0, 0, 1, 12)"
6,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,4,33.33,102.97,118.01,31.666,49.594,14.599,66.67,58.464,5.697,"(3, 1, 0)","(1, 0, 1, 12)"
7,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,2,16.67,59.27,60.55,14.793,20.86,2.161,50.0,67.291,1.039,"(0, 1, 2)","(1, 0, 0, 12)"
8,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,0,0.0,835.6,816.88,89.592,101.988,-2.24,50.0,10.584,-2.507,"(3, 1, 0)","(0, 0, 0, 12)"
9,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,0,0.0,849.24,828.37,99.496,133.903,-2.457,41.67,10.885,-2.517,"(3, 1, 0)","(0, 1, 1, 12)"
10,12,ARIMA,,54,12,2023-06,2023-07,2024-06,12,0,0.0,58.4,58.98,28.474,35.089,0.999,50.0,68.884,0.246,"(0, 1, 1)","(1, 0, 0, 12)"
1,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,0,0.0,785.16,906.07,120.916,120.916,15.4,100.0,14.299,1.0,,
2,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,0,0.0,817.35,898.76,81.407,81.407,9.96,100.0,9.487,1.0,,
3,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,0,0.0,605.12,624.88,19.758,19.758,3.265,100.0,3.213,1.0,,
4,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,0,0.0,898.77,791.8,106.972,106.972,-11.902,0.0,12.655,-1.0,,
5,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,0,0.0,789.54,749.97,39.57,39.57,-5.012,0.0,5.141,-1.0,,
6,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,,,
7,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,5.15,5.152,5.152,,100.0,,1.0,,
8,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,0,0.0,772.33,802.44,30.111,30.111,3.899,100.0,3.824,1.0,,
9,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,0,0.0,763.4,855.23,91.828,91.828,12.029,100.0,11.346,1.0,,
10,1,XGBoost,,61,1,2024-05,2024-05,2024-05,1,0,0.0,100.47,80.59,19.882,19.882,-19.789,0.0,21.962,-1.0,,
1,3,XGBoost,,59,3,2024-03,2024-03,2024-05,3,0,0.0,891.01,819.6,101.623,111.886,-8.015,33.33,11.578,-2.108,,
2,3,XGBoost,,59,3,2024-03,2024-03,2024-05,3,0,0.0,850.93,706.53,144.397,165.923,-16.969,0.0,17.993,-3.0,,
3,3,XGBoost,,59,3,2024-03,2024-03,2024-05,3,0,0.0,677.33,678.37,37.243,39.646,0.153,66.67,5.363,0.083,,
